# Gene Familys	demo_Abundance-RPKs
UNMAPPED	118306.0000000000
UniRef90_I9EJJ4	853.9682539683
UniRef90_I9EJJ4|g__Bacteroides.s__Bacteroides_vulgatus	853.9682539683
UniRef90_B5D0V1	454.2685520331
UniRef90_B5D0V1|g__Bacteroides.s__Bacteroides_vulgatus	454.2685520331
UniRef90_A0A395VP60	315.5374087047
UniRef90_A0A395VP60|g__Bacteroides.s__Bacteroides_vulgatus	315.5374087047
UniRef90_A0A3E4PLE2	280.3652717582
UniRef90_A0A3E4PLE2|g__Bacteroides.s__Bacteroides_vulgatus	280.3652717582
UniRef90_A0A078RIU7	233.5992907801
UniRef90_A0A078RIU7|g__Bacteroides.s__Bacteroides_vulgatus	233.5992907801
UniRef90_C6ZAS2	217.7908733931
UniRef90_C6ZAS2|g__Bacteroides.s__Bacteroides_vulgatus	217.7908733931
UniRef90_A0A3E4XFQ6	200.6107912997
UniRef90_A0A3E4XFQ6|g__Bacteroides.s__Bacteroides_vulgatus	200.6107912997
UniRef90_G1UM91	200.0000000000
UniRef90_G1UM91|g__Bacteroides.s__Bacteroides_vulgatus	200.0000000000
UniRef90_A0A396E449	198.4870406363
UniRef90_A0A396E449|g__Bacteroides.s__Bacteroides_vulgatus	198.4870406363
UniRef90_A6KZR2	186.0265191586
UniRef90_A6KZR2|g__Bacteroides.s__Bacteroides_vulgatus	186.0265191586
UniRef90_I9J2Y0	177.6315789474
UniRef90_I9J2Y0|g__Bacteroides.s__Bacteroides_vulgatus	177.6315789474
UniRef90_D4V549	169.0830993748
UniRef90_D4V549|g__Bacteroides.s__Bacteroides_vulgatus	169.0830993748
UniRef90_A0A3E4XFK9	166.2058113914
UniRef90_A0A3E4XFK9|g__Bacteroides.s__Bacteroides_vulgatus	166.2058113914
UniRef90_B5D0U7	157.6892361978
UniRef90_B5D0U7|g__Bacteroides.s__Bacteroides_vulgatus	157.6892361978
UniRef90_A0A015X489	157.3600563068
UniRef90_A0A015X489|g__Bacteroides.s__Bacteroides_vulgatus	157.3600563068
UniRef90_A0A396E704	155.3846529439
UniRef90_A0A396E704|g__Bacteroides.s__Bacteroides_vulgatus	155.3846529439
UniRef90_A0A3E4XFK3	153.6000425914
UniRef90_A0A3E4XFK3|g__Bacteroides.s__Bacteroides_vulgatus	153.6000425914
UniRef90_A0A3E4XFK5	143.3710925137
UniRef90_A0A3E4XFK5|g__Bacteroides.s__Bacteroides_vulgatus	143.3710925137
UniRef90_C6ZAN6	132.6849953508
UniRef90_C6ZAN6|g__Bacteroides.s__Bacteroides_vulgatus	132.6849953508
UniRef90_C6ZAL1	131.5547977719
UniRef90_C6ZAL1|g__Bacteroides.s__Bacteroides_vulgatus	131.5547977719
UniRef90_B5D0N0	131.2482639080
UniRef90_B5D0N0|g__Bacteroides.s__Bacteroides_vulgatus	131.2482639080
UniRef90_A0A0P0M2E3	123.4339693086
UniRef90_A0A0P0M2E3|g__Bacteroides.s__Bacteroides_vulgatus	123.4339693086
UniRef90_I9UBB8	120.6081081081
UniRef90_I9UBB8|g__Bacteroides.s__Bacteroides_vulgatus	120.6081081081
UniRef90_C6ZAR3	117.0779997359
UniRef90_C6ZAR3|g__Bacteroides.s__Bacteroides_vulgatus	117.0779997359
UniRef90_A0A0P0LI08	108.4281175686
UniRef90_A0A0P0LI08|g__Bacteroides.s__Bacteroides_vulgatus	108.4281175686
UniRef90_A0A3E4XFT8	108.0949349624
UniRef90_A0A3E4XFT8|g__Bacteroides.s__Bacteroides_vulgatus	108.0949349624
UniRef90_A0A3E4XFQ9	105.6849612540
UniRef90_A0A3E4XFQ9|g__Bacteroides.s__Bacteroides_vulgatus	105.6849612540
UniRef90_A0A076IWK0	103.3096167308
UniRef90_A0A076IWK0|g__Bacteroides.s__Bacteroides_vulgatus	103.3096167308
UniRef90_B6W1I3	102.6958244987
UniRef90_B6W1I3|g__Bacteroides.s__Bacteroides_vulgatus	102.6958244987
UniRef90_A0A076ITS7	100.1983246333
UniRef90_A0A076ITS7|g__Bacteroides.s__Bacteroides_vulgatus	100.1983246333
UniRef90_C9KTE0	100.0889684553
UniRef90_C9KTE0|g__Bacteroides.s__Bacteroides_vulgatus	100.0889684553
UniRef90_D1JWR6	98.2957562794
UniRef90_D1JWR6|g__Bacteroides.s__Bacteroides_vulgatus	98.2957562794
UniRef90_A0A069S2P7	96.6877973578
UniRef90_A0A069S2P7|g__Bacteroides.s__Bacteroides_vulgatus	96.6877973578
UniRef90_A0A3E4JCP7	95.7747732439
UniRef90_A0A3E4JCP7|g__Bacteroides.s__Bacteroides_vulgatus	95.7747732439
UniRef90_B6VXB6	95.3560996529
UniRef90_B6VXB6|g__Bacteroides.s__Bacteroides_vulgatus	95.3560996529
UniRef90_F7LXM2	93.7500000000
UniRef90_F7LXM2|g__Bacteroides.s__Bacteroides_vulgatus	93.7500000000
UniRef90_A0A1Q6IXK0	89.4470617573
UniRef90_A0A1Q6IXK0|g__Bacteroides.s__Bacteroides_vulgatus	89.4470617573
UniRef90_A0A3E4XFJ9	87.0530759019
UniRef90_A0A3E4XFJ9|g__Bacteroides.s__Bacteroides_vulgatus	87.0530759019
UniRef90_R5CD91	86.7000589538
UniRef90_R5CD91|g__Bacteroides.s__Bacteroides_vulgatus	86.7000589538
UniRef90_Q64SH0	85.7302658840
UniRef90_Q64SH0|g__Bacteroides.s__Bacteroides_vulgatus	85.7302658840
UniRef90_A0A3E4ZV70	85.1859498509
UniRef90_A0A3E4ZV70|g__Bacteroides.s__Bacteroides_vulgatus	85.1859498509
UniRef90_A0A069S3S3	84.1325021763
UniRef90_A0A069S3S3|g__Bacteroides.s__Bacteroides_vulgatus	84.1325021763
UniRef90_D4V4V0	83.4782608696
UniRef90_D4V4V0|g__Bacteroides.s__Bacteroides_vulgatus	83.4782608696
UniRef90_A0A076IQ49	82.7554021913
UniRef90_A0A076IQ49|g__Bacteroides.s__Bacteroides_vulgatus	82.7554021913
UniRef90_A0A174R7U9	82.6825176944
UniRef90_A0A174R7U9|g__Bacteroides.s__Bacteroides_vulgatus	82.6825176944
UniRef90_A0A174KU74	80.4542251157
UniRef90_A0A174KU74|g__Bacteroides.s__Bacteroides_vulgatus	80.4542251157
UniRef90_C6ZAS8	80.4512416982
UniRef90_C6ZAS8|g__Bacteroides.s__Bacteroides_vulgatus	80.4512416982
UniRef90_A0A078TAG6	79.4956963708
UniRef90_A0A078TAG6|g__Bacteroides.s__Bacteroides_vulgatus	79.4956963708
UniRef90_A0A076J5I1	79.3655989850
UniRef90_A0A076J5I1|g__Bacteroides.s__Bacteroides_vulgatus	79.3655989850
UniRef90_D4VEG4	78.7188700875
UniRef90_D4VEG4|g__Bacteroides.s__Bacteroides_vulgatus	78.7188700875
UniRef90_A0A1Q6IXL9	78.7049460811
UniRef90_A0A1Q6IXL9|g__Bacteroides.s__Bacteroides_vulgatus	78.7049460811
UniRef90_A0A0P0LHQ9	78.3165295592
UniRef90_A0A0P0LHQ9|g__Bacteroides.s__Bacteroides_vulgatus	78.3165295592
UniRef90_C6ZAL8	77.7995435241
UniRef90_C6ZAL8|g__Bacteroides.s__Bacteroides_vulgatus	77.7995435241
UniRef90_A0A0P0L353	77.6270482915
UniRef90_A0A0P0L353|g__Bacteroides.s__Bacteroides_vulgatus	77.6270482915
UniRef90_D1K9I6	75.0188138091
UniRef90_D1K9I6|g__Bacteroides.s__Bacteroides_vulgatus	75.0188138091
UniRef90_A0A395UK03	74.4204762355
UniRef90_A0A395UK03|g__Bacteroides.s__Bacteroides_vulgatus	74.4204762355
UniRef90_A0A174QUM5	74.2946145824
UniRef90_A0A174QUM5|g__Bacteroides.s__Bacteroides_vulgatus	74.2946145824
UniRef90_A0A076J5U1	74.0622594952
UniRef90_A0A076J5U1|g__Bacteroides.s__Bacteroides_vulgatus	74.0622594952
UniRef90_D4V7E2	72.4346617630
UniRef90_D4V7E2|g__Bacteroides.s__Bacteroides_vulgatus	72.4346617630
UniRef90_A0A0K2HIA2	72.4008976926
UniRef90_A0A0K2HIA2|g__Bacteroides.s__Bacteroides_vulgatus	72.4008976926
UniRef90_E5UZP2	71.7460128319
UniRef90_E5UZP2|g__Bacteroides.s__Bacteroides_vulgatus	71.7460128319
UniRef90_A0A0P0M5L3	71.3305718818
UniRef90_A0A0P0M5L3|g__Bacteroides.s__Bacteroides_vulgatus	71.3305718818
UniRef90_A0A069S4W8	68.7103594080
UniRef90_A0A069S4W8|g__Bacteroides.s__Bacteroides_vulgatus	68.7103594080
UniRef90_A0A0P0LCY3	67.3873258298
UniRef90_A0A0P0LCY3|g__Bacteroides.s__Bacteroides_vulgatus	67.3873258298
UniRef90_A0A174N3R8	66.9468043959
UniRef90_A0A174N3R8|g__Bacteroides.s__Bacteroides_vulgatus	66.9468043959
UniRef90_A6L5G7	66.4802654448
UniRef90_A6L5G7|g__Bacteroides.s__Bacteroides_vulgatus	66.4802654448
UniRef90_A0A076J5W7	66.2463314313
UniRef90_A0A076J5W7|g__Bacteroides.s__Bacteroides_vulgatus	66.2463314313
UniRef90_A0A0P0LHJ3	64.5439667982
UniRef90_A0A0P0LHJ3|g__Bacteroides.s__Bacteroides_vulgatus	64.5439667982
UniRef90_A6L083	64.2101294083
UniRef90_A6L083|g__Bacteroides.s__Bacteroides_vulgatus	64.2101294083
UniRef90_A0A380ZJN2	64.1247649832
UniRef90_A0A380ZJN2|g__Bacteroides.s__Bacteroides_vulgatus	64.1247649832
UniRef90_A0A0P0LK20	63.5927980676
UniRef90_A0A0P0LK20|g__Bacteroides.s__Bacteroides_vulgatus	63.5927980676
UniRef90_A0A396ARN2	62.3456790123
UniRef90_A0A396ARN2|g__Bacteroides.s__Bacteroides_vulgatus	62.3456790123
UniRef90_D4V7C3	61.0719494409
UniRef90_D4V7C3|g__Bacteroides.s__Bacteroides_vulgatus	61.0719494409
UniRef90_A0A1H7HSD9	60.8346900014
UniRef90_A0A1H7HSD9|g__Bacteroides.s__Bacteroides_vulgatus	60.8346900014
UniRef90_R7P2X9	60.5100291941
UniRef90_R7P2X9|g__Bacteroides.s__Bacteroides_vulgatus	60.5100291941
UniRef90_A0A1Y3ZIE4	60.3998211371
UniRef90_A0A1Y3ZIE4|g__Bacteroides.s__Bacteroides_vulgatus	60.3998211371
UniRef90_A0A396F407	59.2865425428
UniRef90_A0A396F407|g__Bacteroides.s__Bacteroides_vulgatus	59.2865425428
UniRef90_C3R9T2	59.1397386455
UniRef90_C3R9T2|g__Bacteroides.s__Bacteroides_vulgatus	59.1397386455
UniRef90_A0A174J4M2	59.0650053125
UniRef90_A0A174J4M2|g__Bacteroides.s__Bacteroides_vulgatus	59.0650053125
UniRef90_Q650G5	59.0304468756
UniRef90_Q650G5|g__Bacteroides.s__Bacteroides_vulgatus	59.0304468756
UniRef90_A0A1H7IC77	58.4498561233
UniRef90_A0A1H7IC77|g__Bacteroides.s__Bacteroides_vulgatus	58.4498561233
UniRef90_A0A0K2HIG2	57.9181957904
UniRef90_A0A0K2HIG2|g__Bacteroides.s__Bacteroides_vulgatus	57.9181957904
UniRef90_E5UQ30	57.5851242413
UniRef90_E5UQ30|g__Bacteroides.s__Bacteroides_vulgatus	57.5851242413
UniRef90_I8ZQ06	57.4821371114
UniRef90_I8ZQ06|g__Bacteroides.s__Bacteroides_vulgatus	57.4821371114
UniRef90_B0NQA3	57.1242339291
UniRef90_B0NQA3|g__Bacteroides.s__Bacteroides_vulgatus	57.1242339291
UniRef90_A0A0P0M1A3	56.5448239609
UniRef90_A0A0P0M1A3|g__Bacteroides.s__Bacteroides_vulgatus	56.5448239609
UniRef90_A0A1T4IYC5	56.1814593547
UniRef90_A0A1T4IYC5|g__Bacteroides.s__Bacteroides_vulgatus	56.1814593547
UniRef90_S0F753	55.7977498066
UniRef90_S0F753|g__Bacteroides.s__Bacteroides_vulgatus	55.7977498066
UniRef90_A0A076IME4	55.2961716796
UniRef90_A0A076IME4|g__Bacteroides.s__Bacteroides_vulgatus	55.2961716796
UniRef90_A6L5J5	55.1890630097
UniRef90_A6L5J5|g__Bacteroides.s__Bacteroides_vulgatus	55.1890630097
UniRef90_A0A0M0N1A8	55.1851913863
UniRef90_A0A0M0N1A8|g__Bacteroides.s__Bacteroides_vulgatus	55.1851913863
UniRef90_A0A076J6J3	54.7975011700
UniRef90_A0A076J6J3|g__Bacteroides.s__Bacteroides_vulgatus	54.7975011700
UniRef90_A0A076IPF6	54.4528240566
UniRef90_A0A076IPF6|g__Bacteroides.s__Bacteroides_vulgatus	54.4528240566
UniRef90_A0A3E5EGN1	54.3982614707
UniRef90_A0A3E5EGN1|g__Bacteroides.s__Bacteroides_vulgatus	54.3982614707
UniRef90_E6SQG4	54.2709048849
UniRef90_E6SQG4|g__Bacteroides.s__Bacteroides_vulgatus	54.2709048849
UniRef90_A0A174Q9Z0	54.1439980722
UniRef90_A0A174Q9Z0|g__Bacteroides.s__Bacteroides_vulgatus	54.1439980722
UniRef90_A0A174L9Z9	54.0658832530
UniRef90_A0A174L9Z9|g__Bacteroides.s__Bacteroides_vulgatus	54.0658832530
UniRef90_A6L2V6	54.0332753380
UniRef90_A6L2V6|g__Bacteroides.s__Bacteroides_vulgatus	54.0332753380
UniRef90_A0A3E5HCD5	53.6682275268
UniRef90_A0A3E5HCD5|g__Bacteroides.s__Bacteroides_vulgatus	53.6682275268
UniRef90_A6L2W9	52.9953838021
UniRef90_A6L2W9|g__Bacteroides.s__Bacteroides_vulgatus	52.9953838021
UniRef90_A0A076J249	52.6801183401
UniRef90_A0A076J249|g__Bacteroides.s__Bacteroides_vulgatus	52.6801183401
UniRef90_A0A078QYJ8	52.6315789474
UniRef90_A0A078QYJ8|g__Bacteroides.s__Bacteroides_vulgatus	52.6315789474
UniRef90_A6L6X5	52.5723214847
UniRef90_A6L6X5|g__Bacteroides.s__Bacteroides_vulgatus	52.5723214847
UniRef90_A0A174LZM2	52.1924280601
UniRef90_A0A174LZM2|g__Bacteroides.s__Bacteroides_vulgatus	52.1924280601
UniRef90_A0A0M1W4E7	52.1389467062
UniRef90_A0A0M1W4E7|g__Bacteroides.s__Bacteroides_vulgatus	52.1389467062
UniRef90_D4VDF7	51.6559211700
UniRef90_D4VDF7|g__Bacteroides.s__Bacteroides_vulgatus	51.6559211700
UniRef90_A0A0N7J836	51.6030472173
UniRef90_A0A0N7J836|g__Bacteroides.s__Bacteroides_vulgatus	51.6030472173
UniRef90_A0A076IMM1	51.1553427944
UniRef90_A0A076IMM1|g__Bacteroides.s__Bacteroides_vulgatus	51.1553427944
UniRef90_A0A1Y3ZL52	51.1197424856
UniRef90_A0A1Y3ZL52|g__Bacteroides.s__Bacteroides_vulgatus	51.1197424856
UniRef90_B5D0L4	50.7593195672
UniRef90_B5D0L4|g__Bacteroides.s__Bacteroides_vulgatus	50.7593195672
UniRef90_A0A397WCV4	50.5854642557
UniRef90_A0A397WCV4|g__Bacteroides.s__Bacteroides_vulgatus	50.5854642557
UniRef90_A0A078SXL7	50.4682707151
UniRef90_A0A078SXL7|g__Bacteroides.s__Bacteroides_vulgatus	50.4682707151
UniRef90_A0A0K2HHQ4	50.4088168519
UniRef90_A0A0K2HHQ4|g__Bacteroides.s__Bacteroides_vulgatus	50.4088168519
UniRef90_A6L2M8	49.8824550822
UniRef90_A6L2M8|g__Bacteroides.s__Bacteroides_vulgatus	49.8824550822
UniRef90_D4V4L9	49.6182932548
UniRef90_D4V4L9|g__Bacteroides.s__Bacteroides_vulgatus	49.6182932548
UniRef90_I8VP64	49.4643012130
UniRef90_I8VP64|g__Bacteroides.s__Bacteroides_vulgatus	49.4643012130
UniRef90_D4V7L7	49.4384272146
UniRef90_D4V7L7|g__Bacteroides.s__Bacteroides_vulgatus	49.4384272146
UniRef90_A0A174UG67	48.9871425162
UniRef90_A0A174UG67|g__Bacteroides.s__Bacteroides_vulgatus	48.9871425162
UniRef90_A6L3C5	48.9353443716
UniRef90_A6L3C5|g__Bacteroides.s__Bacteroides_vulgatus	48.9353443716
UniRef90_A0A1Y4PBJ5	48.9155716922
UniRef90_A0A1Y4PBJ5|g__Bacteroides.s__Bacteroides_vulgatus	48.9155716922
UniRef90_A6L168	48.8186804047
UniRef90_A6L168|g__Bacteroides.s__Bacteroides_vulgatus	48.8186804047
UniRef90_A0A1Q6I1C1	48.5750270932
UniRef90_A0A1Q6I1C1|g__Bacteroides.s__Bacteroides_vulgatus	48.5750270932
UniRef90_A0A396DX97	48.4663144345
UniRef90_A0A396DX97|g__Bacteroides.s__Bacteroides_vulgatus	48.4663144345
UniRef90_A6KZL8	48.4552056898
UniRef90_A6KZL8|g__Bacteroides.s__Bacteroides_vulgatus	48.4552056898
UniRef90_A0A0E2AWP1	48.3263422706
UniRef90_A0A0E2AWP1|g__Bacteroides.s__Bacteroides_vulgatus	48.3263422706
UniRef90_A0A0P0M574	48.2463867816
UniRef90_A0A0P0M574|g__Bacteroides.s__Bacteroides_vulgatus	48.2463867816
UniRef90_I8WTV5	48.1927710843
UniRef90_I8WTV5|g__Bacteroides.s__Bacteroides_vulgatus	48.1927710843
UniRef90_A0A076IM12	47.9521954960
UniRef90_A0A076IM12|g__Bacteroides.s__Bacteroides_vulgatus	47.9521954960
UniRef90_A0A0P0M4I6	47.8733092118
UniRef90_A0A0P0M4I6|g__Bacteroides.s__Bacteroides_vulgatus	47.8733092118
UniRef90_A0A069SNW9	47.8131882131
UniRef90_A0A069SNW9|g__Bacteroides.s__Bacteroides_vulgatus	47.8131882131
UniRef90_A0A076ILA9	47.5386276762
UniRef90_A0A076ILA9|g__Bacteroides.s__Bacteroides_vulgatus	47.5386276762
UniRef90_A0A076J8Y4	47.5009093341
UniRef90_A0A076J8Y4|g__Bacteroides.s__Bacteroides_vulgatus	47.5009093341
UniRef90_A6L4N0	47.2864345236
UniRef90_A6L4N0|g__Bacteroides.s__Bacteroides_vulgatus	47.2864345236
UniRef90_A0A076J5M4	46.8907802609
UniRef90_A0A076J5M4|g__Bacteroides.s__Bacteroides_vulgatus	46.8907802609
UniRef90_D4V3P6	46.7541560708
UniRef90_D4V3P6|g__Bacteroides.s__Bacteroides_vulgatus	46.7541560708
UniRef90_A0A076ITD9	46.6976952542
UniRef90_A0A076ITD9|g__Bacteroides.s__Bacteroides_vulgatus	46.6976952542
UniRef90_A0A0P0M2V7	46.3994547793
UniRef90_A0A0P0M2V7|g__Bacteroides.s__Bacteroides_vulgatus	46.3994547793
UniRef90_A0A076IIN4	46.1309827077
UniRef90_A0A076IIN4|g__Bacteroides.s__Bacteroides_vulgatus	46.1309827077
UniRef90_A0A076J475	45.6419125827
UniRef90_A0A076J475|g__Bacteroides.s__Bacteroides_vulgatus	45.6419125827
UniRef90_A0A076IRA9	45.6396609458
UniRef90_A0A076IRA9|g__Bacteroides.s__Bacteroides_vulgatus	45.6396609458
UniRef90_A6L2V8	45.4354993778
UniRef90_A6L2V8|g__Bacteroides.s__Bacteroides_vulgatus	45.4354993778
UniRef90_D4V870	45.2972774035
UniRef90_D4V870|g__Bacteroides.s__Bacteroides_vulgatus	45.2972774035
UniRef90_A0A076J355	44.9441774894
UniRef90_A0A076J355|g__Bacteroides.s__Bacteroides_vulgatus	44.9441774894
UniRef90_U6RCW1	44.8421563194
UniRef90_U6RCW1|g__Bacteroides.s__Bacteroides_vulgatus	44.8421563194
UniRef90_A0A174TGW6	44.7687374710
UniRef90_A0A174TGW6|g__Bacteroides.s__Bacteroides_vulgatus	44.7687374710
UniRef90_A0A076J0M1	44.7374226691
UniRef90_A0A076J0M1|g__Bacteroides.s__Bacteroides_vulgatus	44.7374226691
UniRef90_A0A396ESL5	44.2033201374
UniRef90_A0A396ESL5|g__Bacteroides.s__Bacteroides_vulgatus	44.2033201374
UniRef90_A0A0P0LPA8	44.0734507702
UniRef90_A0A0P0LPA8|g__Bacteroides.s__Bacteroides_vulgatus	44.0734507702
UniRef90_A0A076IWI5	44.0373048310
UniRef90_A0A076IWI5|g__Bacteroides.s__Bacteroides_vulgatus	44.0373048310
UniRef90_A0A069SHN4	43.8520339442
UniRef90_A0A069SHN4|g__Bacteroides.s__Bacteroides_vulgatus	43.8520339442
UniRef90_A6L7T5	43.6767048752
UniRef90_A6L7T5|g__Bacteroides.s__Bacteroides_vulgatus	43.6767048752
UniRef90_A0A078R0W0	43.4782608696
UniRef90_A0A078R0W0|g__Bacteroides.s__Bacteroides_vulgatus	43.4782608696
UniRef90_A0A076IQI3	43.4282350539
UniRef90_A0A076IQI3|g__Bacteroides.s__Bacteroides_vulgatus	43.4282350539
UniRef90_D1KAH7	43.2551046974
UniRef90_D1KAH7|g__Bacteroides.s__Bacteroides_vulgatus	43.2551046974
UniRef90_A6L330	43.0571605350
UniRef90_A6L330|g__Bacteroides.s__Bacteroides_vulgatus	43.0571605350
UniRef90_A0A174NQE1	43.0090924646
UniRef90_A0A174NQE1|g__Bacteroides.s__Bacteroides_vulgatus	43.0090924646
UniRef90_A0A395UIQ2	42.9758092666
UniRef90_A0A395UIQ2|g__Bacteroides.s__Bacteroides_vulgatus	42.9758092666
UniRef90_D4V3D2	42.7525196067
UniRef90_D4V3D2|g__Bacteroides.s__Bacteroides_vulgatus	42.7525196067
UniRef90_A6KXA6	42.4972880594
UniRef90_A6KXA6|g__Bacteroides.s__Bacteroides_vulgatus	42.4972880594
UniRef90_A0A1Q6HYS0	42.2662908408
UniRef90_A0A1Q6HYS0|g__Bacteroides.s__Bacteroides_vulgatus	42.2662908408
UniRef90_A6L5J0	42.1992574253
UniRef90_A6L5J0|g__Bacteroides.s__Bacteroides_vulgatus	42.1992574253
UniRef90_C3R9S9	42.0916024778
UniRef90_C3R9S9|g__Bacteroides.s__Bacteroides_vulgatus	42.0916024778
UniRef90_A0A0P0LH34	41.8035138400
UniRef90_A0A0P0LH34|g__Bacteroides.s__Bacteroides_vulgatus	41.8035138400
UniRef90_A0A076IYH9	41.6912098920
UniRef90_A0A076IYH9|g__Bacteroides.s__Bacteroides_vulgatus	41.6912098920
UniRef90_A0A076IND8	41.5709679070
UniRef90_A0A076IND8|g__Bacteroides.s__Bacteroides_vulgatus	41.5709679070
UniRef90_C3R8X7	41.3968636871
UniRef90_C3R8X7|g__Bacteroides.s__Bacteroides_vulgatus	41.3968636871
UniRef90_A6L391	41.2321579789
UniRef90_A6L391|g__Bacteroides.s__Bacteroides_vulgatus	41.2321579789
