# Gene Familys	demo_Abundance-RPKs
UniRef90_A0A174P1Q8	41.1573219751
UniRef90_A0A174P1Q8|g__Bacteroides.s__Bacteroides_vulgatus	41.1573219751
UniRef90_A6KXY5	41.1263843037
UniRef90_A6KXY5|g__Bacteroides.s__Bacteroides_vulgatus	41.1263843037
UniRef90_A0A1Y3ZE18	40.6904891737
UniRef90_A0A1Y3ZE18|g__Bacteroides.s__Bacteroides_vulgatus	40.6904891737
UniRef90_A0A174M183	40.6514305892
UniRef90_A0A174M183|g__Bacteroides.s__Bacteroides_vulgatus	40.6514305892
UniRef90_A0A396BH28	40.6075822849
UniRef90_A0A396BH28|g__Bacteroides.s__Bacteroides_vulgatus	40.6075822849
UniRef90_A0A0P0L8N9	40.5850711334
UniRef90_A0A0P0L8N9|g__Bacteroides.s__Bacteroides_vulgatus	40.5850711334
UniRef90_C3RE72	40.4920376861
UniRef90_C3RE72|g__Bacteroides.s__Bacteroides_vulgatus	40.4920376861
UniRef90_A0A3E5EDG4	40.4411866945
UniRef90_A0A3E5EDG4|g__Bacteroides.s__Bacteroides_vulgatus	40.4411866945
UniRef90_A0A076IYC1	40.4354283473
UniRef90_A0A076IYC1|g__Bacteroides.s__Bacteroides_vulgatus	40.4354283473
UniRef90_A6L1P5	40.2320307641
UniRef90_A6L1P5|g__Bacteroides.s__Bacteroides_vulgatus	40.2320307641
UniRef90_A0A081TW72	39.7024394015
UniRef90_A0A081TW72|g__Bacteroides.s__Bacteroides_vulgatus	39.7024394015
UniRef90_A6L1V8	39.6417698237
UniRef90_A6L1V8|g__Bacteroides.s__Bacteroides_vulgatus	39.6417698237
UniRef90_A0A076INP4	39.4820223554
UniRef90_A0A076INP4|g__Bacteroides.s__Bacteroides_vulgatus	39.4820223554
UniRef90_A6L089	39.3596570552
UniRef90_A6L089|g__Bacteroides.s__Bacteroides_vulgatus	39.3596570552
UniRef90_A0A0K2HHR9	39.3284265815
UniRef90_A0A0K2HHR9|g__Bacteroides.s__Bacteroides_vulgatus	39.3284265815
UniRef90_A0A015W6F0	39.1405512931
UniRef90_A0A015W6F0|g__Bacteroides.s__Bacteroides_vulgatus	39.1405512931
UniRef90_C3R9E8	39.0506831974
UniRef90_C3R9E8|g__Bacteroides.s__Bacteroides_vulgatus	39.0506831974
UniRef90_B6VSS7	38.9550767135
UniRef90_B6VSS7|g__Bacteroides.s__Bacteroides_vulgatus	38.9550767135
UniRef90_A6L1Z3	38.8959484704
UniRef90_A6L1Z3|g__Bacteroides.s__Bacteroides_vulgatus	38.8959484704
UniRef90_A6KZN7	38.5571318985
UniRef90_A6KZN7|g__Bacteroides.s__Bacteroides_vulgatus	38.5571318985
UniRef90_A0A0M1VY16	38.5329451192
UniRef90_A0A0M1VY16|g__Bacteroides.s__Bacteroides_vulgatus	38.5329451192
UniRef90_A0A015UTA3	38.5066619573
UniRef90_A0A015UTA3|g__Bacteroides.s__Bacteroides_vulgatus	38.5066619573
UniRef90_D4V881	38.5031511965
UniRef90_D4V881|g__Bacteroides.s__Bacteroides_vulgatus	38.5031511965
UniRef90_A0A396FHA9	38.4262513689
UniRef90_A0A396FHA9|g__Bacteroides.s__Bacteroides_vulgatus	38.4262513689
UniRef90_A6KZH6	38.3147907030
UniRef90_A6KZH6|g__Bacteroides.s__Bacteroides_vulgatus	38.3147907030
UniRef90_A0A1H7IQQ6	38.2564466391
UniRef90_A0A1H7IQQ6|g__Bacteroides.s__Bacteroides_vulgatus	38.2564466391
UniRef90_A0A076IZY4	38.1552058878
UniRef90_A0A076IZY4|g__Bacteroides.s__Bacteroides_vulgatus	38.1552058878
UniRef90_A0A076IXB1	38.0990848089
UniRef90_A0A076IXB1|g__Bacteroides.s__Bacteroides_vulgatus	38.0990848089
UniRef90_C3RDM7	37.7480343084
UniRef90_C3RDM7|g__Bacteroides.s__Bacteroides_vulgatus	37.7480343084
UniRef90_A0A1Q6IDM1	37.7266708557
UniRef90_A0A1Q6IDM1|g__Bacteroides.s__Bacteroides_vulgatus	37.7266708557
UniRef90_I8WIS4	37.6446726912
UniRef90_I8WIS4|g__Bacteroides.s__Bacteroides_vulgatus	37.6446726912
UniRef90_A0A396FBP9	37.5531621812
UniRef90_A0A396FBP9|g__Bacteroides.s__Bacteroides_vulgatus	37.5531621812
UniRef90_A0A076J096	37.5359296007
UniRef90_A0A076J096|g__Bacteroides.s__Bacteroides_vulgatus	37.5359296007
UniRef90_R5VS54	37.4067125926
UniRef90_R5VS54|g__Bacteroides.s__Bacteroides_vulgatus	37.4067125926
UniRef90_A0A3D9A664	37.3372403826
UniRef90_A0A3D9A664|g__Bacteroides.s__Bacteroides_vulgatus	37.3372403826
UniRef90_E5X3T8	37.2036874451
UniRef90_E5X3T8|g__Bacteroides.s__Bacteroides_vulgatus	37.2036874451
UniRef90_A6KXF7	37.1208862221
UniRef90_A6KXF7|g__Bacteroides.s__Bacteroides_vulgatus	37.1208862221
UniRef90_A0A076J5B8	37.1119834101
UniRef90_A0A076J5B8|g__Bacteroides.s__Bacteroides_vulgatus	37.1119834101
UniRef90_A6KWM1	37.0466200469
UniRef90_A6KWM1|g__Bacteroides.s__Bacteroides_vulgatus	37.0466200469
UniRef90_F7LTM1	36.8701397440
UniRef90_F7LTM1|g__Bacteroides.s__Bacteroides_vulgatus	36.8701397440
UniRef90_S0F674	36.7305283506
UniRef90_S0F674|g__Bacteroides.s__Bacteroides_vulgatus	36.7305283506
UniRef90_A0A0P0M6J9	36.4869382684
UniRef90_A0A0P0M6J9|g__Bacteroides.s__Bacteroides_vulgatus	36.4869382684
UniRef90_A0A076INF6	36.4587311600
UniRef90_A0A076INF6|g__Bacteroides.s__Bacteroides_vulgatus	36.4587311600
UniRef90_A0A076IW30	36.0936926108
UniRef90_A0A076IW30|g__Bacteroides.s__Bacteroides_vulgatus	36.0936926108
UniRef90_A0A0K2HFA0	35.7330721275
UniRef90_A0A0K2HFA0|g__Bacteroides.s__Bacteroides_vulgatus	35.7330721275
UniRef90_A0A0N7J703	35.7329289878
UniRef90_A0A0N7J703|g__Bacteroides.s__Bacteroides_vulgatus	35.7329289878
UniRef90_A0A076J4I6	35.7058425562
UniRef90_A0A076J4I6|g__Bacteroides.s__Bacteroides_vulgatus	35.7058425562
UniRef90_A0A1Q6IDU2	35.5016076672
UniRef90_A0A1Q6IDU2|g__Bacteroides.s__Bacteroides_vulgatus	35.5016076672
UniRef90_A0A3E4PLD2	35.4775574113
UniRef90_A0A3E4PLD2|g__Bacteroides.s__Bacteroides_vulgatus	35.4775574113
UniRef90_B6VTD9	35.3876182978
UniRef90_B6VTD9|g__Bacteroides.s__Bacteroides_vulgatus	35.3876182978
UniRef90_A0A0P0LP45	35.3320496171
UniRef90_A0A0P0LP45|g__Bacteroides.s__Bacteroides_vulgatus	35.3320496171
UniRef90_I8WCZ9	35.2627104895
UniRef90_I8WCZ9|g__Bacteroides.s__Bacteroides_vulgatus	35.2627104895
UniRef90_A0A076J2S9	35.1928387399
UniRef90_A0A076J2S9|g__Bacteroides.s__Bacteroides_vulgatus	35.1928387399
UniRef90_A0A076ITA9	35.1153459997
UniRef90_A0A076ITA9|g__Bacteroides.s__Bacteroides_vulgatus	35.1153459997
UniRef90_A0A0P0M3N9	35.0251781171
UniRef90_A0A0P0M3N9|g__Bacteroides.s__Bacteroides_vulgatus	35.0251781171
UniRef90_R6J7M6	34.9955230409
UniRef90_R6J7M6|g__Bacteroides.s__Bacteroides_vulgatus	34.9955230409
UniRef90_A0A174U119	34.9649667033
UniRef90_A0A174U119|g__Bacteroides.s__Bacteroides_vulgatus	34.9649667033
UniRef90_A0A0P0M5G4	34.9156469462
UniRef90_A0A0P0M5G4|g__Bacteroides.s__Bacteroides_vulgatus	34.9156469462
UniRef90_A0A076INP0	34.8805990963
UniRef90_A0A076INP0|g__Bacteroides.s__Bacteroides_vulgatus	34.8805990963
UniRef90_D4IN85	34.8521259993
UniRef90_D4IN85|g__Bacteroides.s__Bacteroides_vulgatus	34.8521259993
UniRef90_A0A174AYT0	34.6622157630
UniRef90_A0A174AYT0|g__Bacteroides.s__Bacteroides_vulgatus	34.6622157630
UniRef90_A0A076ISS3	34.6331532249
UniRef90_A0A076ISS3|g__Bacteroides.s__Bacteroides_vulgatus	34.6331532249
UniRef90_A7V7C4	34.6164375289
UniRef90_A7V7C4|g__Bacteroides.s__Bacteroides_vulgatus	34.6164375289
UniRef90_B3JFM7	34.5806776548
UniRef90_B3JFM7|g__Bacteroides.s__Bacteroides_vulgatus	34.5806776548
UniRef90_A0A0M1W407	34.5433779261
UniRef90_A0A0M1W407|g__Bacteroides.s__Bacteroides_vulgatus	34.5433779261
UniRef90_A0A174MM23	34.4999281907
UniRef90_A0A174MM23|g__Bacteroides.s__Bacteroides_vulgatus	34.4999281907
UniRef90_A0A0P0LHW5	34.2252158251
UniRef90_A0A0P0LHW5|g__Bacteroides.s__Bacteroides_vulgatus	34.2252158251
UniRef90_A0A396FE59	34.2099308483
UniRef90_A0A396FE59|g__Bacteroides.s__Bacteroides_vulgatus	34.2099308483
UniRef90_A0A0P0LIZ0	34.1564499605
UniRef90_A0A0P0LIZ0|g__Bacteroides.s__Bacteroides_vulgatus	34.1564499605
UniRef90_A0A0M1W6F3	34.1483109124
UniRef90_A0A0M1W6F3|g__Bacteroides.s__Bacteroides_vulgatus	34.1483109124
UniRef90_E5UND7	33.9688035658
UniRef90_E5UND7|g__Bacteroides.s__Bacteroides_vulgatus	33.9688035658
UniRef90_A0A016FI57	33.9364421103
UniRef90_A0A016FI57|g__Bacteroides.s__Bacteroides_vulgatus	33.9364421103
UniRef90_R6ZMG2	33.8915288336
UniRef90_R6ZMG2|g__Bacteroides.s__Bacteroides_vulgatus	33.8915288336
UniRef90_A0A396F2S3	33.7315210571
UniRef90_A0A396F2S3|g__Bacteroides.s__Bacteroides_vulgatus	33.7315210571
UniRef90_C3R9T7	33.6069840645
UniRef90_C3R9T7|g__Bacteroides.s__Bacteroides_vulgatus	33.6069840645
UniRef90_A0A076ITT2	33.5600580038
UniRef90_A0A076ITT2|g__Bacteroides.s__Bacteroides_vulgatus	33.5600580038
UniRef90_B6VVN3	33.5356967472
UniRef90_B6VVN3|g__Bacteroides.s__Bacteroides_vulgatus	33.5356967472
UniRef90_A0A1Q6IXI0	33.3619180074
UniRef90_A0A1Q6IXI0|g__Bacteroides.s__Bacteroides_vulgatus	33.3619180074
UniRef90_A0A1Q6I8J8	33.2873586057
UniRef90_A0A1Q6I8J8|g__Bacteroides.s__Bacteroides_vulgatus	33.2873586057
UniRef90_A0A3E5E638	33.1845910372
UniRef90_A0A3E5E638|g__Bacteroides.s__Bacteroides_vulgatus	33.1845910372
UniRef90_A0A0M1W292	33.1420792030
UniRef90_A0A0M1W292|g__Bacteroides.s__Bacteroides_vulgatus	33.1420792030
UniRef90_F9ZCR2	32.8265924851
UniRef90_F9ZCR2|g__Bacteroides.s__Bacteroides_vulgatus	32.8265924851
UniRef90_A0A076J8H6	32.7175010388
UniRef90_A0A076J8H6|g__Bacteroides.s__Bacteroides_vulgatus	32.7175010388
UniRef90_B6VXC1	32.6762158839
UniRef90_B6VXC1|g__Bacteroides.s__Bacteroides_vulgatus	32.6762158839
UniRef90_U6RJ00	32.5881977855
UniRef90_U6RJ00|g__Bacteroides.s__Bacteroides_vulgatus	32.5881977855
UniRef90_A0A397WJL1	32.4925558949
UniRef90_A0A397WJL1|g__Bacteroides.s__Bacteroides_vulgatus	32.4925558949
UniRef90_B6W141	32.4731150059
UniRef90_B6W141|g__Bacteroides.s__Bacteroides_vulgatus	32.4731150059
UniRef90_A0A174ULH9	32.4268989791
UniRef90_A0A174ULH9|g__Bacteroides.s__Bacteroides_vulgatus	32.4268989791
UniRef90_A0A1Q6JRH3	32.3966293108
UniRef90_A0A1Q6JRH3|g__Bacteroides.s__Bacteroides_vulgatus	32.3966293108
UniRef90_A0A380ZM27	32.3483578000
UniRef90_A0A380ZM27|g__Bacteroides.s__Bacteroides_vulgatus	32.3483578000
UniRef90_R6JK25	32.3481840406
UniRef90_R6JK25|g__Bacteroides.s__Bacteroides_vulgatus	32.3481840406
UniRef90_A0A0K2HEM0	32.2217542815
UniRef90_A0A0K2HEM0|g__Bacteroides.s__Bacteroides_vulgatus	32.2217542815
UniRef90_A0A395VSA3	32.0550128444
UniRef90_A0A395VSA3|g__Bacteroides.s__Bacteroides_vulgatus	32.0550128444
UniRef90_R5W221	32.0218624247
UniRef90_R5W221|g__Bacteroides.s__Bacteroides_vulgatus	32.0218624247
UniRef90_A0A076J4H3	31.7531190720
UniRef90_A0A076J4H3|g__Bacteroides.s__Bacteroides_vulgatus	31.7531190720
UniRef90_I9UBD0	31.7244025020
UniRef90_I9UBD0|g__Bacteroides.s__Bacteroides_vulgatus	31.7244025020
UniRef90_A0A076J8B0	31.6560355617
UniRef90_A0A076J8B0|g__Bacteroides.s__Bacteroides_vulgatus	31.6560355617
UniRef90_A0A078QNU1	31.5997990457
UniRef90_A0A078QNU1|g__Bacteroides.s__Bacteroides_vulgatus	31.5997990457
UniRef90_A0A076IHG6	31.5967510956
UniRef90_A0A076IHG6|g__Bacteroides.s__Bacteroides_vulgatus	31.5967510956
UniRef90_B6W235	31.5458455410
UniRef90_B6W235|g__Bacteroides.s__Bacteroides_vulgatus	31.5458455410
UniRef90_U6RGT5	31.5160400744
UniRef90_U6RGT5|g__Bacteroides.s__Bacteroides_vulgatus	31.5160400744
UniRef90_A0A076ISC1	31.4285575227
UniRef90_A0A076ISC1|g__Bacteroides.s__Bacteroides_vulgatus	31.4285575227
UniRef90_A6L3K7	31.3723201561
UniRef90_A6L3K7|g__Bacteroides.s__Bacteroides_vulgatus	31.3723201561
UniRef90_A0A174RVK1	31.3696241409
UniRef90_A0A174RVK1|g__Bacteroides.s__Bacteroides_vulgatus	31.3696241409
UniRef90_C3R6I8	31.3212748262
UniRef90_C3R6I8|g__Bacteroides.s__Bacteroides_vulgatus	31.3212748262
UniRef90_A6KZA8	31.3160296102
UniRef90_A6KZA8|g__Bacteroides.s__Bacteroides_vulgatus	31.3160296102
UniRef90_E4MEM1	31.2725659103
UniRef90_E4MEM1|g__Bacteroides.s__Bacteroides_vulgatus	31.2725659103
UniRef90_A0A174Q5I4	31.2524870322
UniRef90_A0A174Q5I4|g__Bacteroides.s__Bacteroides_vulgatus	31.2524870322
UniRef90_A0A076IUQ4	31.2252886905
UniRef90_A0A076IUQ4|g__Bacteroides.s__Bacteroides_vulgatus	31.2252886905
UniRef90_A0A0P0M688	31.0919119164
UniRef90_A0A0P0M688|g__Bacteroides.s__Bacteroides_vulgatus	31.0919119164
UniRef90_A0A076J5J6	30.9028017590
UniRef90_A0A076J5J6|g__Bacteroides.s__Bacteroides_vulgatus	30.9028017590
UniRef90_A6KWM0	30.8860029046
UniRef90_A6KWM0|g__Bacteroides.s__Bacteroides_vulgatus	30.8860029046
UniRef90_A0A076J443	30.8566071500
UniRef90_A0A076J443|g__Bacteroides.s__Bacteroides_vulgatus	30.8566071500
UniRef90_A0A0P0M0T3	30.8243875939
UniRef90_A0A0P0M0T3|g__Bacteroides.s__Bacteroides_vulgatus	30.8243875939
UniRef90_I9RAR8	30.7456181657
UniRef90_I9RAR8|g__Bacteroides.s__Bacteroides_vulgatus	30.7456181657
UniRef90_C6IUI6	30.7407705196
UniRef90_C6IUI6|g__Bacteroides.s__Bacteroides_vulgatus	30.7407705196
UniRef90_A0A396AT78	30.7119515498
UniRef90_A0A396AT78|g__Bacteroides.s__Bacteroides_vulgatus	30.7119515498
UniRef90_A0A076IUD6	30.7055901931
UniRef90_A0A076IUD6|g__Bacteroides.s__Bacteroides_vulgatus	30.7055901931
UniRef90_C3QQU0	30.6707643977
UniRef90_C3QQU0|g__Bacteroides.s__Bacteroides_vulgatus	30.6707643977
UniRef90_A0A0M1VZB7	30.6388436127
UniRef90_A0A0M1VZB7|g__Bacteroides.s__Bacteroides_vulgatus	30.6388436127
UniRef90_A0A396E3S1	30.6122448980
UniRef90_A0A396E3S1|g__Bacteroides.s__Bacteroides_vulgatus	30.6122448980
UniRef90_A0A076IHJ6	30.5291302291
UniRef90_A0A076IHJ6|g__Bacteroides.s__Bacteroides_vulgatus	30.5291302291
UniRef90_A6L175	30.5244450278
UniRef90_A6L175|g__Bacteroides.s__Bacteroides_vulgatus	30.5244450278
UniRef90_B6VZX1	30.5125124544
UniRef90_B6VZX1|g__Bacteroides.s__Bacteroides_vulgatus	30.5125124544
UniRef90_A0A0P0M5Q5	30.4750261398
UniRef90_A0A0P0M5Q5|g__Bacteroides.s__Bacteroides_vulgatus	30.4750261398
UniRef90_A0A076JA16	30.4740034780
UniRef90_A0A076JA16|g__Bacteroides.s__Bacteroides_vulgatus	30.4740034780
UniRef90_A0A076J0R6	30.2958628737
UniRef90_A0A076J0R6|g__Bacteroides.s__Bacteroides_vulgatus	30.2958628737
UniRef90_A0A1Y3ZLJ2	30.2339853136
UniRef90_A0A1Y3ZLJ2|g__Bacteroides.s__Bacteroides_vulgatus	30.2339853136
UniRef90_R9HPY0	30.2266398281
UniRef90_R9HPY0|g__Bacteroides.s__Bacteroides_vulgatus	30.2266398281
UniRef90_A0A076IL10	30.1218434791
UniRef90_A0A076IL10|g__Bacteroides.s__Bacteroides_vulgatus	30.1218434791
UniRef90_A6L169	30.1008003530
UniRef90_A6L169|g__Bacteroides.s__Bacteroides_vulgatus	30.1008003530
UniRef90_A0A076ILZ8	30.0773639055
UniRef90_A0A076ILZ8|g__Bacteroides.s__Bacteroides_vulgatus	30.0773639055
UniRef90_A0A395UR53	29.9243271294
UniRef90_A0A395UR53|g__Bacteroides.s__Bacteroides_vulgatus	29.9243271294
UniRef90_B0NQJ5	29.8177620940
UniRef90_B0NQJ5|g__Bacteroides.s__Bacteroides_vulgatus	29.8177620940
UniRef90_A0A076J0W8	29.6818553648
UniRef90_A0A076J0W8|g__Bacteroides.s__Bacteroides_vulgatus	29.6818553648
UniRef90_B4UUJ6	29.6586150294
UniRef90_B4UUJ6|g__Bacteroides.s__Bacteroides_vulgatus	29.6586150294
UniRef90_A0A174QEA0	29.5065927803
UniRef90_A0A174QEA0|g__Bacteroides.s__Bacteroides_vulgatus	29.5065927803
UniRef90_A0A076IKY2	29.4597203540
UniRef90_A0A076IKY2|g__Bacteroides.s__Bacteroides_vulgatus	29.4597203540
UniRef90_A0A076IY52	29.3808180425
UniRef90_A0A076IY52|g__Bacteroides.s__Bacteroides_vulgatus	29.3808180425
UniRef90_K6A8K3	29.3686895466
UniRef90_K6A8K3|g__Bacteroides.s__Bacteroides_vulgatus	29.3686895466
UniRef90_I9FHZ1	29.3279497126
UniRef90_I9FHZ1|g__Bacteroides.s__Bacteroides_vulgatus	29.3279497126
UniRef90_A6L4M4	29.3139030772
UniRef90_A6L4M4|g__Bacteroides.s__Bacteroides_vulgatus	29.3139030772
UniRef90_E5UY21	29.1892660182
UniRef90_E5UY21|g__Bacteroides.s__Bacteroides_vulgatus	29.1892660182
UniRef90_A0A174G697	29.1365188223
UniRef90_A0A174G697|g__Bacteroides.s__Bacteroides_vulgatus	29.1365188223
UniRef90_A0A076ISJ7	29.1185132714
UniRef90_A0A076ISJ7|g__Bacteroides.s__Bacteroides_vulgatus	29.1185132714
UniRef90_I8W766	29.1141942399
UniRef90_I8W766|g__Bacteroides.s__Bacteroides_vulgatus	29.1141942399
UniRef90_U6RGU2	29.0752359315
UniRef90_U6RGU2|g__Bacteroides.s__Bacteroides_vulgatus	29.0752359315
UniRef90_A0A076IRR2	29.0244490486
UniRef90_A0A076IRR2|g__Bacteroides.s__Bacteroides_vulgatus	29.0244490486
UniRef90_A6KZV1	29.0193475439
UniRef90_A6KZV1|g__Bacteroides.s__Bacteroides_vulgatus	29.0193475439
UniRef90_A0A076J1K6	29.0156138344
UniRef90_A0A076J1K6|g__Bacteroides.s__Bacteroides_vulgatus	29.0156138344
UniRef90_A0A174FKR7	28.9448393016
UniRef90_A0A174FKR7|g__Bacteroides.s__Bacteroides_vulgatus	28.9448393016
UniRef90_A0A174L7W1	28.7666217012
UniRef90_A0A174L7W1|g__Bacteroides.s__Bacteroides_vulgatus	28.7666217012
UniRef90_B5CTJ4	28.7263810943
UniRef90_B5CTJ4|g__Bacteroides.s__Bacteroides_vulgatus	28.7263810943
UniRef90_A0A076IY28	28.5910660475
UniRef90_A0A076IY28|g__Bacteroides.s__Bacteroides_vulgatus	28.5910660475
UniRef90_A0A0P0M3X7	28.5457973841
UniRef90_A0A0P0M3X7|g__Bacteroides.s__Bacteroides_vulgatus	28.5457973841
UniRef90_A0A069SE00	28.4884679479
UniRef90_A0A069SE00|g__Bacteroides.s__Bacteroides_vulgatus	28.4884679479
UniRef90_A6KWQ7	28.4856273273
UniRef90_A6KWQ7|g__Bacteroides.s__Bacteroides_vulgatus	28.4856273273
UniRef90_C3R8W1	28.4318962361
UniRef90_C3R8W1|g__Bacteroides.s__Bacteroides_vulgatus	28.4318962361
UniRef90_A6L198	28.4210699205
UniRef90_A6L198|g__Bacteroides.s__Bacteroides_vulgatus	28.4210699205
UniRef90_A0A076J7U9	28.3932306416
UniRef90_A0A076J7U9|g__Bacteroides.s__Bacteroides_vulgatus	28.3932306416
UniRef90_A0A397WMH6	28.3792811248
UniRef90_A0A397WMH6|g__Bacteroides.s__Bacteroides_vulgatus	28.3792811248
UniRef90_A0A076ITU8	28.3650306239
UniRef90_A0A076ITU8|g__Bacteroides.s__Bacteroides_vulgatus	28.3650306239
UniRef90_A0A0P0M534	28.3522666120
UniRef90_A0A0P0M534|g__Bacteroides.s__Bacteroides_vulgatus	28.3522666120
UniRef90_D4IN49	28.3131490316
UniRef90_D4IN49|g__Bacteroides.s__Bacteroides_vulgatus	28.3131490316
UniRef90_A6KZK0	28.1061820646
UniRef90_A6KZK0|g__Bacteroides.s__Bacteroides_vulgatus	28.1061820646
UniRef90_D1K1G9	28.0382784085
UniRef90_D1K1G9|g__Bacteroides.s__Bacteroides_vulgatus	28.0382784085
UniRef90_A6L078	27.9720725871
UniRef90_A6L078|g__Bacteroides.s__Bacteroides_vulgatus	27.9720725871
UniRef90_R5K610	27.9643076674
UniRef90_R5K610|g__Bacteroides.s__Bacteroides_vulgatus	27.9643076674
UniRef90_R6CPE5	27.9609778866
